"Titre","Description","Date","Cote","Fichier tif - 300 dpi","Fichier jpg - 200 dpi","Mention de crédits"
"Rue McGill","En direction sud, à partir de la rue Notre-Dame.  On y aperçoit un tramway; les commerces Café Emile, L.P. Lazare & Co, Landau & Cormack, Imperial Mixture et W.J. Bush & Co; un panneau-réclame de Coca-Cola; de même qu'une vue partielle de l'édifice de la Banque Royale du Canada à la droite de l'image.","Décennie 1930","VM94,SY,SS1,SSS17,D23","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z24.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z24.jpg","Archives de la Ville de Montréal"
"Marché Saint-Jacques (1125 rue Ontario Est)","Construit en 1931.","Décennie 1930","VM94,SY,SS1,SSS17,D24","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z25-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z25-1.jpg","Archives de la Ville de Montréal"
"Usine de pompage et réservoir McTavish (815,rue McGregor - aujourd'hui avenue du Docteur-Penfield)","Mis en activité à partir de 1932.","Décennie 1930","VM94,SY,SS1,SSS17,D25","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z26.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z26.jpg","Archives de la Ville de Montréal"
"Marché Saint-Antoine (Côté nord de la rue Saint-Jacques près de la rue de la Montagne)","Construit en 1861 et démoli en 1933.","Décennie 1920","VM94,SY,SS1,SSS17,D26","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z27-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z27-1.jpg","Archives de la Ville de Montréal"
"Autopompe du Service des incendies de la Ville de Montréal.","Devant la Bibliothèque de la Ville de Montréal (620, rue Sherbrooke Est - devenu 1210, rue Sherbrooke Est).",avr.-25,"VM94,SY,SS1,SSS17,D33","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z34-2B.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z34-2B.jpg","Archives de la Ville de Montréal"
"Refuge Meurling (435 rue Champ-de-Mars)","File d'attente de chômeurs devant l'entrée du refuge lors de la crise économique des années 1930.",1933,"VM94,SY,SS1,SSS17,D34","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z35.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z35.jpg","Archives de la Ville de Montréal"
"Benne sur traîneau tirée par un cheval","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D35","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z36-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z36-1.jpg","Archives de la Ville de Montréal"
"Chasse-neige utilisé par le Département de la voirie","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D37","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z38-1B.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z38-1B.jpg","Archives de la Ville de Montréal"
"Pont ferroviaire de la rue Guy","S/O",1932,"VM94,SY,SS1,SSS17,D38","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z39.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z39.jpg","Archives de la Ville de Montréal"
"Cabaret Chinese Paradise Chop Suey (53-57, rue de La Gauchetière)","Localisé dans le quartier chinois de Montréal. ","Décennie 1930","VM94,SY,SS1,SSS17,D41","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z42-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z42-1.jpg","Archives de la Ville de Montréal"
"Aqueduc de Montréal (devenu usine de traitement Atwater - 3161, rue Joseph)","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D57","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z58-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z58-1.jpg","Archives de la Ville de Montréal"
"Hôtel Mont-Royal (devenu Les Cours Mont-Royal - 1455, rue Peel)","S/O",09-avr.-36,"VM94,SY,SS1,SSS17,D58","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z59-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z59-1.jpg","Archives de la Ville de Montréal"
"Château Dufresne (4040, rue Sherbrooke Est, à l'angle du boulevard Pie IX)","Construit entre 1916 et 1918.",30-mars-36,"VM94,SY,SS1,SSS17,D59","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z60.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z60.jpg","Archives de la Ville de Montréal"
"American Can Company (2030-2032, boulevard Pie IX, à l'angle de la rue Ontario)","S/O",30-mars-36,"VM94,SY,SS1,SSS17,D63","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z64-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z64-1.jpg","Archives de la Ville de Montréal"
"Grand magasin Morgan’s (devenu La Baie- 587 rue Sainte-Catherine Ouest, entre les rues Union et Aylmer)","On y aperçoit les deux vespasiennes du square Phillips.",30-mars-36,"VM94,SY,SS1,SSS17,D65","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z66-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z66-1.jpg","Archives de la Ville de Montréal"
"Grand magasin Eaton's (677, rue Sainte-Catherine Ouest, à l'angle de la rue University)","S/O",30-mars-36,"VM94,SY,SS1,SSS17,D66","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z67.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z67.jpg","Archives de la Ville de Montréal"
"Grand magasin Simpson's (977,rue Sainte-Catherine Ouest, entre les rues Metcalfe et Mansfield)","À la gauche de l'image, on aperçoit une vue partielle du Hungarian Tokay Restaurant.",30-mars-36,"VM94,SY,SS1,SSS17,D68","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z69-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z69-1.jpg","Archives de la Ville de Montréal"
"Employé municipal de Département de l’incinération","S/O",28-sept.-37,"VM94,SY,SS1,SSS17,D71","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z72-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z72-1.jpg","Archives de la Ville de Montréal"
"Hôtel Berkeley (1188, rue Sherbrooke Ouest, entre les rues Drummond et Stanley)","Construit en 1928.",11-août-36,"VM94,SY,SS1,SSS17,D72","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z73-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z73-1.jpg","Archives de la Ville de Montréal"
"Pompier tenant un tuyau d'incendie","S/O","Décennie  1930","VM94,SY,SS1,SSS17,D78","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z79-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z79-1.jpg","Archives de la Ville de Montréal"
"Marché Atwater (110-154, avenue Atwater, entre les rues Saint-Ambroise et St-Emile)","Construit en 1932-1933.","Décennie 1930","VM94,SY,SS1,SSS17,D80","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z81-2.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z81-2.jpg","Archives de la Ville de Montréal"
"Marché Bonsecours vu de la rue des Commissaires (devenu rue de la Commune)","S/O",1922,"VM94,SY,SS1,SSS17,D82","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z83-B.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z83-B.jpg","Archives de la Ville de Montréal"
"Benne à traîneaux no. 214 du Département de l'incinération","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D83","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z84-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z84-1.jpg","Archives de la Ville de Montréal"
"Bain Gallery (1310, rue Wellington)","S/O",02-mars-31,"VM94,SY,SS1,SSS17,D85","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z86-6.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z86-6.jpg","Archives de la Ville de Montréal"
"Fort de l'île Sainte-Hélène (aujourd'hui musée Stewart)","S/O",02-juil.-37,"VM94,SY,SS1,SSS17,D88,P2","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z89-2.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z89-2.jpg","Archives de la Ville de Montréal"
"Pont Jacques-Cartier","Prise de vue de la tour de Lévis.",02-juil.-37,"VM94,SY,SS1,SSS17,D88,P3","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z89-3.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z89-3.jpg","Archives de la Ville de Montréal"
"Tour de Lévis et blockhaus sur l’île Sainte-Hélène","Tour construite en 1936 et blockhaus construit une première fois en 1849 et incendié en juin 1997.",02-juil.-37,"VM94,SY,SS1,SSS17,D88,P5","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z89-5.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z89-5.jpg","Archives de la Ville de Montréal"
